City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
39,baykit,61.67,96.37,-43.09,100,56,0.62,RU,1674066793
40,new norfolk,-42.7826,147.0587,10.72,61,29,0.89,AU,1674066793
41,homer,59.6425,-151.5483,-0.67,94,100,2.24,US,1674066794
42,airai,-8.9266,125.4092,16.09,94,100,0.98,TL,1674066795
43,butaritari,3.0707,172.7902,27.16,79,10,6.83,KI,1674066795
44,urucara,-2.5364,-57.76,24.45,89,100,1.79,BR,1674066763
45,albany,42.6001,-73.9662,5.93,81,100,5.08,US,1674066643
46,komsomolskiy,40.4272,71.7189,-6.6,79,100,2.06,UZ,1674066797
47,chaman,30.9236,66.4512,4.07,93,100,1.32,PK,1674066798
48,petropavlovsk-kamchatskiy,53.0452,158.6483,-10.67,41,75,9.0,RU,1674066738
49,gladstone,-23.85,151.25,20.96,83,41,2.06,AU,1674066799
50,wanganui,-39.9333,175.05,13.66,90,100,2.24,NZ,1674066800
51,kahului,20.8947,-156.47,26.02,88,0,2.57,US,1674066800
52,thompson,55.7435,-97.8558,-8.91,86,100,2.06,CA,1674066801
53,santiago,-33.4569,-70.6483,34.6,28,0,7.72,CL,1674066735
54,mecca,21.4267,39.8261,23.55,44,5,1.59,SA,1674066732
55,bambous virieux,-20.3428,57.7575,27.14,83,75,8.23,MU,1674066803
56,namibe,-15.1961,12.1522,23.51,76,100,3.77,AO,1674066804
57,havre-saint-pierre,50.2334,-63.5986,2.2,93,100,3.09,CA,1674066804
58,luba,3.4568,8.5547,28.94,85,100,4.06,GQ,1674066805
59,cidreira,-30.1811,-50.2056,23.83,85,100,6.18,BR,1674066806
60,jati,24.3539,68.2671,18.6,20,74,3.05,PK,1674066807
61,saskylakh,71.9167,114.0833,-36.96,100,65,2.14,RU,1674066808
62,bethel,41.3712,-73.414,10.05,53,75,4.12,US,1674066809
63,vilhena,-12.7406,-60.1458,23.12,94,75,2.06,BR,1674066810
64,hami,42.8,93.45,-10.2,47,0,0.46,CN,1674066810
65,bluff,-46.6,168.3333,13.55,88,36,2.17,NZ,1674066811
66,richards bay,-28.783,32.0377,26.71,72,4,6.55,ZA,1674066811
67,clyde river,70.4692,-68.5914,-31.87,68,0,3.09,CA,1674066812
68,faya,18.3851,42.4509,14.06,71,57,0.87,SA,1674066812
69,ewa beach,21.3156,-158.0072,23.9,73,100,2.06,US,1674066812
70,haines city,28.1142,-81.6179,25.68,53,0,4.12,US,1674066650
71,terrace,54.5163,-128.6035,1.95,93,75,8.23,CA,1674066623
72,nanortalik,60.1432,-45.2371,-1.8,70,100,5.6,GL,1674066813
73,cherskiy,68.75,161.3,-39.24,97,100,1.59,RU,1674066813
74,san patricio,28.017,-97.5169,28.92,59,86,5.51,US,1674066814
75,san quintin,30.4833,-115.95,14.16,52,100,0.96,MX,1674066814
76,marzuq,14.4,46.4667,17.89,40,5,1.67,YE,1674066815
77,umm kaddadah,13.6017,26.6876,19.98,16,100,5.71,SD,1674066815
78,ribeira grande,38.5167,-28.7,15.43,72,40,1.54,PT,1674066815
79,san jose,37.3394,-121.895,12.39,73,40,2.06,US,1674066348
80,itinga,-16.6131,-41.7653,28.71,67,9,0.1,BR,1674066816
81,tura,25.5198,90.2201,11.14,55,0,1.49,IN,1674066816
82,bocana de paiwas,12.7857,-85.1227,26.98,63,17,3.58,NI,1674066817
83,waipawa,-41.4122,175.5153,14.39,90,23,1.87,NZ,1674066817
